,Unnamed: 0.1,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN,Extra_info
4870,4870,4870,Kia,2022,1353.0,Comprehensive,14.0,15841.0,Manual,1st Owner,138.05,Petrol,7.0,16.2,MUV,Ahmedabad,Carens,BYATVWX716F2AHCES,Prestige Plus Turbo 2022-2023
4871,4871,4871,Hyundai,2017,1197.0,Comprehensive,5.75,33000.0,Automatic,1st Owner,81.86,Petrol,5.0,18.9,Hatchback,Ahmedabad,Grand,N6GH0UB833D9UR21G,i10 1.2 Kappa Sportz Option AT
4872,4872,4872,Hyundai,2017,1995.0,Comprehensive,14.75,74942.0,Automatic,1st Owner,183.0,Diesel,5.0,16.38,SUV,Ahmedabad,Tucson,6MGM4RWA272WJ9R7V,2.0 e-VGT 2WD AT GLS
4873,4873,4873,Jaguar,2015,2179.0,3rd Party,17.5,73000.0,Automatic,1st Owner,187.7,Diesel,5.0,16.36,Sedan,Ahmedabad,XF,79Z8VVW69C32V47V2,2.2 Litre Luxury
4874,4874,4874,BMW,2013,1995.0,3rd Party,10.0,76000.0,Automatic,3rd Owner,184.0,Diesel,5.0,18.88,Sedan,Ahmedabad,3,ACYRG8DJ6CD0W77C5,Series 320d Luxury Line
4875,4875,4875,Honda,2014,1198.0,3rd Party,3.3,64000.0,Manual,2nd Owner,86.7,Petrol,5.0,18.0,Sedan,Ahmedabad,Amaze,WKUBVLXT9F48MSUZL,SX i-VTEC
4876,4876,4876,Chevrolet,2010,995.0,Comprehensive,1.05,46000.0,Manual,2nd Owner,62.0,Petrol,5.0,18.0,Hatchback,Ahmedabad,Spark,7SFMVDNX0A9P0UHJT,1.0 LS
4877,4877,4877,Hyundai,2012,1086.0,3rd Party,2.9,71000.0,Manual,1st Owner,68.05,Petrol,5.0,19.81,Hatchback,Ahmedabad,i10,KFYA6NZN12CBLRDP6,Era 1.1 iTech SE
4878,4878,4878,Honda,2014,1198.0,Comprehensive,3.5,77000.0,Manual,1st Owner,86.8,Petrol,5.0,19.4,Hatchback,Ahmedabad,Brio,P1N7C4WKX9NBR6H4G,EX MT
4879,4879,4879,Hyundai,2013,1086.0,3rd Party,3.4,66000.0,Manual,1st Owner,68.05,Petrol,5.0,19.81,Hatchback,Ahmedabad,i10,P06JJTRB70FCMDUDK,Era
4880,4880,4880,Maruti,2013,998.0,3rd Party,2.55,58000.0,Manual,1st Owner,67.1,Petrol,5.0,20.92,Hatchback,Ahmedabad,Alto,FM2TS8CR4UYZRD285,K10 MusiK edition
4881,4881,4881,Honda,2018,1498.0,Comprehensive,8.5,69000.0,Manual,1st Owner,98.6,Diesel,5.0,25.5,SUV,Ahmedabad,WR-V,CJ467AAX8WLHNCPSP,i-DTEC VX
4882,4882,4882,Honda,2015,1997.0,Comprehensive,9.5,66000.0,Automatic,1st Owner,153.86,Petrol,5.0,13.7,SUV,Ahmedabad,CR-V,YD5L0M9W5C2JVL323,2.0L 2WD AT
4883,4883,4883,Maruti,2022,1197.0,3rd Party,6.5,31000.0,Manual,1st Owner,70.67,CNG,5.0,19.8172,Cars,Ahmedabad,Eeco,C9F6YBT9960ZTKRLY,5 Seater AC CNG BSVI
4884,4884,4884,Maruti,2017,998.0,Comprehensive,4.75,28000.0,Manual,1st Owner,67.0,Petrol,5.0,18.9,Hatchback,Ahmedabad,Wagon,Z6VDBBPH14UXHE1RG,R Pro
4885,4885,4885,Hyundai,2016,1396.0,3rd Party,6.5,79000.0,Manual,1st Owner,88.73,Diesel,5.0,22.54,Hatchback,Ahmedabad,i20,VYWERBM41ERYXKD2J,Asta 1.4 CRDi
4886,4886,4886,Maruti,2018,1248.0,Comprehensive,8.25,79000.0,Manual,1st Owner,88.5,Diesel,5.0,25.1,SUV,Ahmedabad,SX4,5KULUT4F6BALTNPFG,S Cross Alpha DDiS 200 SH
4887,4887,4887,Maruti,2022,998.0,Comprehensive,5.5,20000.0,Manual,1st Owner,65.71,Petrol,5.0,25.24,Hatchback,Ahmedabad,Celerio,9MRY0XC3XFMMZBGCL,VXI BSVI
4888,4888,4888,Hyundai,2021,998.0,Comprehensive,10.1,52000.0,Manual,1st Owner,118.35,Petrol,5.0,18.27,SUV,Ahmedabad,Venue,SH0S97WK315HEE1XV,SX Turbo
4889,4889,4889,Hyundai,2016,1582.0,Comprehensive,9.21,65000.0,Automatic,1st Owner,126.2,Diesel,5.0,17.6,SUV,Ahmedabad,Creta,UM60XZZP6XH7CG2SD,1.6 SX Automatic Diesel
